cmdId  W   SET-handler  QUERY-handler  command
0x011e  RW  0x1ef9a      0x2453e        :CALC2:LIM7:UPP:SOUR2
0x011f  RW  0x1ef9a      0x2453e        :CALC2:LIM8:UPP:SOUR2
0x0120  RW  0x1ef9a      0x2453e        :CALC2:LIM9:UPP:SOUR2
0x0121  RW  0x1ef9a      0x2453e        :CALC2:LIM10:UPP:SOUR2
0x0122  RW  0x1ef9a      0x2453e        :CALC2:LIM11:UPP:SOUR2
0x0123  RW  0x1ef9a      0x2453e        :CALC2:CLIM:FAIL:SOUR2
0x0124  RW  0x1efee      0x2458a        :CALC2:LIM2:LOW
0x0125  RW  0x1efee      0x2458a        :CALC2:LIM3:LOW
0x0126  RW  0x1efee      0x2458a        :CALC2:LIM5:LOW
0x0127  RW  0x1efee      0x2458a        :CALC2:LIM6:LOW
0x0128  RW  0x1efee      0x2458a        :CALC2:LIM7:LOW
0x0129  RW  0x1efee      0x2458a        :CALC2:LIM8:LOW
0x012a  RW  0x1efee      0x2458a        :CALC2:LIM9:LOW
0x012b  RW  0x1efee      0x2458a        :CALC2:LIM10:LOW
0x012c  RW  0x1efee      0x2458a        :CALC2:LIM11:LOW
0x012d  RW  0x1efee      0x2458a        :CALC2:LIM12:LOW
0x012e  RW  0x1f040      0x24636        :CALC2:LIM2:LOW:SOUR2
0x012f  RW  0x1f040      0x24636        :CALC2:LIM3:LOW:SOUR2
0x0130  RW  0x1f040      0x24636        :CALC2:LIM5:LOW:SOUR2
0x0131  RW  0x1f040      0x24636        :CALC2:LIM6:LOW:SOUR2
0x0132  RW  0x1f040      0x24636        :CALC2:LIM7:LOW:SOUR2
0x0133  RW  0x1f040      0x24636        :CALC2:LIM8:LOW:SOUR2
0x0134  RW  0x1f040      0x24636        :CALC2:LIM9:LOW:SOUR2
0x0135  RW  0x1f040      0x24636        :CALC2:LIM10:LOW:SOUR2
0x0136  RW  0x1f040      0x24636        :CALC2:LIM11:LOW:SOUR2
0x0137  RW  0x1f040      0x24636        :CALC2:LIM12:LOW:SOUR2
0x0138  RW  0x1f094      -              :CALC2:CLIM:CLE
0x0139  RW  0x1f0b2      0x24682        :CALC2:CLIM:CLE:AUTO
0x013a  R   -            0x246ae        :CALC2:CLIM:PASS
0x013b  RW  0x1f0d4      0x24728        :CALC2:CLIM:PASS:SOUR2
0x013c  RW  0x1f112      0x2475e        :CALC2:CLIM:PASS:SML
0x013d  RW  0x1f176      0x247c8        :CALC2:CLIM:FAIL:SML
0x013e  RW  0x1f1da      0x24832        :CALC2:CLIM:BCON
0x013f  RW  0x1f1f6      0x2486c        :CALC2:CLIM:MODE
0x0140  RW  0x1ec88      0x24220        :CALC2:NULL:OFFS
0x0141  RW  0x1ecc2      0x241f4        :CALC2:NULL:STAT
0x0142  RW  0x1ed02      -              :CALC2:NULL:ACQ
0x0143  RW  0x1f212      0x24930        :CALC3:FORM
0x0144  R   -            0x248a6        :CALC3:DATA
0x0145  RW  0x1f6ca      0x26514        :CAL:PROT:LOCK
0x0146  RW  0x1f264      -              :DIAG:KEIT:UNLOCK
0x0147  RW  0x1f296      0x26546        :CAL:PROT:CODE
0x0148  RW  0x1f6b2      -              :CAL:PROT:SAVE
0x0149  RW  0x1f5b2      0x2658e        :CAL:PROT:DATE
0x014a  RW  0x1f632      0x265d2        :CAL:PROT:NDUE
0x014b  RW  0x1f6de      -              :CAL:PROT:SENS
0x014c  RW  0x1f9a6      0x26672        :CAL:PROT:SENS:DATA
0x014d  RW  0x1fb6a      -              :CAL:PROT:SOUR
0x014e  RW  0x1fa88      0x26616        :CAL:PROT:SOUR:DATA
0x014f  R   -            0x266ce        :CAL:PROT:COUN
0x0150  RW  0x1fe94      -              :DIAG:KEIT:ISN
